user_id,age_group,gender,occupation,primary_platform,daily_usage_hours,usage_frequency,trust_in_social_media,influencer_influence,feels_addicted,content_consumption_style,decision_influence_level,follows_travel_content,follows_entertainment,follows_educational,follows_business,visual_content_preference,engages_with_travel_posts,saves_travel_content,plans_trips_via_social_media,self_reported_travel_interest,preferred_travel_type
U00034,22-25,Other,Employed,Facebook,<1,High,Medium,Sometimes,Yes,Passive,Low,No,Yes,No,No,Medium,Sometimes,Yes,Yes,Low,Culture
U00035,18-21,Female,Student,TikTok,1-2,Medium,Low,Sometimes,Yes,Passive,Medium,Yes,No,Yes,Yes,High,Often,Yes,Yes,High,Relaxation
U00036,22-25,Male,Student,YouTube,<1,Medium,Low,Sometimes,Yes,Passive,Low,No,Yes,Yes,Yes,Low,Sometimes,Yes,No,High,Adventure
U00037,18-21,Other,Student,Instagram,5+,Medium,High,No,Yes,Interactive,High,Yes,Yes,No,No,High,Rarely,Yes,Yes,Medium,Relaxation
U00038,18-21,Other,Student,Instagram,<1,Medium,Low,Sometimes,Yes,Interactive,Low,No,No,No,No,Low,Often,Yes,Yes,High,Culture
U00039,18-21,Male,Employed,TikTok,5+,Medium,High,No,Yes,Passive,Medium,No,Yes,Yes,Yes,Low,Sometimes,No,No,High,Adventure
U00040,22-25,Male,Employed,TikTok,3-5,Low,Medium,Sometimes,No,Interactive,High,No,Yes,No,No,Low,Often,No,Yes,Low,Culture
U00041,22-25,Other,Employed,YouTube,5+,Medium,High,No,Yes,Passive,Low,Yes,Yes,No,Yes,Medium,Often,No,Yes,Medium,Urban
U00042,22-25,Male,Employed,TikTok,<1,Low,Low,Yes,No,Interactive,High,No,Yes,No,No,High,Rarely,No,No,Low,Adventure
U00043,18-21,Male,Employed,Instagram,3-5,Low,High,Sometimes,Yes,Interactive,Medium,No,Yes,No,No,Low,Often,No,Yes,Low,Adventure
U00044,18-21,Male,Student,TikTok,1-2,High,High,Sometimes,No,Passive,High,Yes,Yes,Yes,No,High,Sometimes,Yes,Yes,Low,Adventure
U00045,22-25,Female,Student,Instagram,<1,High,Medium,No,No,Passive,Low,No,Yes,No,No,Low,Often,No,Yes,Low,Culture
U00046,22-25,Male,Student,Instagram,1-2,Low,Low,Yes,No,Passive,High,No,Yes,No,Yes,Medium,Rarely,Yes,No,Low,Relaxation
U00047,18-21,Female,Student,Instagram,5+,Low,Low,Yes,Yes,Interactive,High,No,No,No,No,Medium,Often,No,No,High,Adventure
U00048,22-25,Female,Employed,YouTube,1-2,Medium,Medium,Sometimes,No,Passive,Medium,No,Yes,No,No,High,Often,No,No,Low,Relaxation
U00049,22-25,Male,Student,TikTok,<1,Low,Medium,Sometimes,Yes,Passive,Low,No,No,Yes,Yes,Low,Rarely,Yes,No,Low,Adventure
U00050,18-21,Other,Student,YouTube,1-2,High,Low,No,Yes,Passive,Medium,Yes,No,No,Yes,High,Sometimes,No,Yes,Low,Culture
U00051,22-25,Female,Student,Facebook,<1,Medium,Low,No,No,Interactive,High,Yes,Yes,No,Yes,Low,Sometimes,No,Yes,Medium,Culture
U00052,18-21,Male,Employed,TikTok,5+,Medium,Low,Yes,Yes,Interactive,Low,No,No,Yes,Yes,High,Often,Yes,Yes,Medium,Culture
U00053,22-25,Male,Student,Instagram,1-2,Low,High,Sometimes,No,Passive,High,Yes,No,Yes,No,Medium,Rarely,No,Yes,Medium,Urban
U00054,18-21,Other,Employed,Instagram,3-5,Medium,Low,Sometimes,No,Interactive,Medium,Yes,No,Yes,Yes,Low,Often,No,No,Medium,Relaxation
U00055,18-21,Female,Employed,YouTube,3-5,Low,Low,Sometimes,Yes,Passive,High,Yes,Yes,Yes,No,High,Rarely,No,No,Medium,Culture
U00056,18-21,Female,Employed,Facebook,<1,High,High,Yes,Yes,Passive,High,Yes,Yes,No,No,Medium,Often,Yes,No,Low,Urban
U00057,22-25,Female,Student,Facebook,3-5,Medium,High,Sometimes,Yes,Passive,High,Yes,No,Yes,Yes,Medium,Sometimes,No,Yes,Medium,Urban
U00058,22-25,Male,Employed,Facebook,5+,Low,High,No,Yes,Interactive,High,No,No,Yes,Yes,Medium,Rarely,No,Yes,High,Relaxation
U00059,22-25,Other,Employed,TikTok,5+,Low,Low,Yes,Yes,Passive,Low,Yes,Yes,No,No,Medium,Often,No,Yes,Medium,Urban
U00060,18-21,Female,Employed,Instagram,5+,Low,Medium,No,No,Passive,High,Yes,Yes,No,Yes,Low,Rarely,No,No,High,Urban
U00061,18-21,Other,Student,YouTube,<1,Low,Low,No,Yes,Passive,Low,No,Yes,Yes,No,High,Often,No,Yes,Low,Adventure
U00062,18-21,Other,Employed,Instagram,3-5,Low,High,Sometimes,Yes,Passive,Medium,No,Yes,No,Yes,Low,Sometimes,No,No,Medium,Relaxation
U00063,18-21,Male,Student,YouTube,5+,Medium,Medium,Sometimes,No,Interactive,Medium,Yes,No,No,Yes,Medium,Sometimes,Yes,No,Low,Relaxation
U00064,22-25,Other,Employed,YouTube,<1,High,High,Sometimes,Yes,Interactive,High,Yes,Yes,Yes,No,Medium,Often,Yes,Yes,Medium,Relaxation
U00065,18-21,Male,Employed,YouTube,3-5,Medium,Low,Sometimes,Yes,Interactive,Low,No,No,No,No,Medium,Often,No,No,Low,Urban
U00066,22-25,Other,Employed,Instagram,1-2,Medium,Medium,Sometimes,No,Interactive,Low,Yes,Yes,No,No,Medium,Often,No,Yes,Low,Urban
U00067,22-25,Other,Employed,YouTube,<1,High,Low,Sometimes,No,Interactive,Medium,No,Yes,No,Yes,Low,Rarely,Yes,No,High,Culture
U00068,22-25,Male,Employed,YouTube,3-5,Medium,High,Yes,No,Passive,Low,Yes,No,No,No,Low,Often,Yes,Yes,Low,Culture
U00069,18-21,Male,Student,Instagram,<1,Low,High,Sometimes,No,Interactive,Low,Yes,Yes,No,No,Low,Rarely,No,Yes,High,Culture
U00070,22-25,Male,Student,Facebook,1-2,Low,Medium,Yes,No,Passive,Medium,No,No,No,Yes,High,Often,No,No,High,Culture
U00071,18-21,Other,Employed,TikTok,1-2,Medium,Low,Yes,Yes,Passive,High,No,Yes,Yes,No,Low,Sometimes,Yes,No,Low,Relaxation
U00072,22-25,Male,Student,Instagram,<1,High,Low,Sometimes,Yes,Interactive,High,No,No,Yes,Yes,Medium,Sometimes,No,No,Medium,Relaxation
U00073,18-21,Other,Student,TikTok,<1,High,Medium,Sometimes,No,Passive,Low,Yes,No,Yes,No,High,Sometimes,Yes,Yes,Low,Relaxation
U00074,18-21,Other,Student,Facebook,1-2,Low,High,No,No,Interactive,High,Yes,Yes,No,No,Medium,Rarely,No,Yes,Low,Culture
U00075,18-21,Male,Employed,YouTube,<1,Medium,Low,Yes,No,Passive,Low,No,Yes,Yes,No,Low,Sometimes,Yes,Yes,Low,Relaxation
U00076,22-25,Male,Student,Instagram,5+,Low,High,No,No,Passive,Low,No,Yes,Yes,Yes,Medium,Rarely,No,Yes,High,Urban
U00077,18-21,Male,Employed,TikTok,1-2,High,Medium,Yes,No,Interactive,Medium,Yes,Yes,Yes,Yes,High,Sometimes,Yes,No,Medium,Relaxation
U00078,22-25,Other,Student,YouTube,3-5,Low,Medium,No,No,Passive,Medium,Yes,Yes,Yes,No,High,Rarely,Yes,No,High,Urban
U00079,22-25,Other,Student,Facebook,3-5,Low,Low,Yes,Yes,Interactive,High,No,Yes,No,No,High,Often,Yes,Yes,Medium,Adventure
U00080,18-21,Other,Employed,YouTube,1-2,Medium,Medium,Sometimes,No,Passive,Low,Yes,No,No,Yes,High,Sometimes,No,Yes,Low,Relaxation
U00081,22-25,Female,Student,TikTok,3-5,Medium,High,Sometimes,No,Interactive,Low,No,No,Yes,Yes,High,Sometimes,No,Yes,Medium,Relaxation
U00082,18-21,Male,Student,Instagram,1-2,Low,Low,No,Yes,Passive,Low,Yes,Yes,Yes,No,Low,Often,Yes,Yes,Medium,Culture
U00083,22-25,Female,Student,Facebook,5+,Low,Medium,Yes,Yes,Interactive,High,No,Yes,Yes,Yes,Low,Sometimes,Yes,No,Low,Relaxation
U00084,22-25,Female,Student,TikTok,<1,Medium,Low,No,Yes,Passive,High,Yes,No,Yes,No,High,Sometimes,No,Yes,Low,Adventure
U00085,22-25,Female,Employed,TikTok,3-5,Medium,Low,No,No,Passive,High,Yes,Yes,Yes,Yes,Low,Rarely,No,No,High,Urban
U00086,22-25,Female,Student,TikTok,5+,High,High,Yes,No,Interactive,Low,No,No,No,Yes,Medium,Often,No,Yes,Low,Relaxation
U00087,18-21,Other,Employed,Instagram,3-5,Medium,High,Yes,Yes,Passive,Medium,Yes,No,No,No,Medium,Rarely,No,Yes,Low,Adventure
U00088,18-21,Other,Student,TikTok,3-5,High,High,No,Yes,Passive,Medium,No,No,Yes,Yes,Medium,Often,Yes,Yes,Medium,Adventure
U00089,18-21,Female,Student,YouTube,<1,Medium,Medium,No,No,Interactive,Low,No,Yes,No,No,High,Often,Yes,No,Medium,Adventure
U00090,18-21,Female,Employed,TikTok,5+,High,Medium,Yes,Yes,Interactive,High,Yes,No,No,No,High,Rarely,No,Yes,Medium,Relaxation
U00091,18-21,Female,Student,TikTok,1-2,High,Low,Yes,No,Passive,Low,No,No,Yes,No,Low,Sometimes,Yes,No,Low,Urban
U00092,18-21,Other,Student,Facebook,<1,Low,High,Yes,Yes,Interactive,Low,Yes,Yes,No,Yes,Medium,Often,Yes,No,High,Urban
U00093,18-21,Other,Student,Instagram,<1,Low,Low,No,No,Passive,High,Yes,No,No,Yes,High,Sometimes,No,No,Low,Relaxation
U00094,22-25,Female,Student,Instagram,1-2,High,High,Sometimes,No,Interactive,Low,Yes,No,Yes,No,High,Sometimes,Yes,Yes,Low,Adventure
U00095,22-25,Other,Employed,Facebook,3-5,Medium,High,Yes,No,Passive,High,Yes,No,Yes,No,High,Rarely,No,Yes,Medium,Culture
U00096,18-21,Female,Student,YouTube,5+,Low,Low,Yes,Yes,Interactive,High,Yes,Yes,Yes,No,Medium,Sometimes,Yes,No,High,Relaxation
U00097,18-21,Male,Student,Instagram,3-5,High,Medium,Sometimes,Yes,Interactive,Medium,Yes,Yes,Yes,No,Medium,Rarely,Yes,No,High,Urban
U00098,22-25,Male,Student,TikTok,1-2,High,Low,No,Yes,Interactive,Medium,No,Yes,No,No,Medium,Sometimes,No,No,Low,Adventure
U00099,22-25,Male,Student,YouTube,3-5,Low,Medium,Sometimes,Yes,Passive,Low,No,No,Yes,Yes,Low,Often,Yes,Yes,High,Culture
U00100,18-21,Male,Student,YouTube,1-2,Medium,Medium,No,Yes,Interactive,Medium,No,Yes,No,Yes,High,Sometimes,No,Yes,Medium,Urban
U00101,18-21,Female,Student,YouTube,1-2,High,High,Sometimes,No,Passive,Medium,No,Yes,Yes,Yes,Low,Often,No,No,Medium,Culture
U00102,18-21,Female,Student,Facebook,3-5,Medium,Low,Sometimes,Yes,Interactive,Medium,No,No,No,No,Medium,Rarely,No,Yes,Low,Adventure
U00103,22-25,Other,Student,Instagram,3-5,Medium,Medium,Yes,No,Interactive,Low,No,Yes,No,Yes,Medium,Often,Yes,Yes,Medium,Adventure
U00104,22-25,Other,Student,Instagram,<1,Low,High,Yes,No,Interactive,High,Yes,Yes,No,Yes,High,Sometimes,No,No,High,Relaxation
U00105,22-25,Other,Employed,Instagram,1-2,Low,Medium,Sometimes,Yes,Passive,High,Yes,No,No,No,High,Sometimes,Yes,Yes,High,Culture
U00106,22-25,Male,Student,YouTube,1-2,Medium,High,Yes,No,Interactive,Low,No,No,No,Yes,Medium,Rarely,Yes,Yes,High,Relaxation
U00107,22-25,Female,Student,Facebook,3-5,Medium,Low,No,No,Passive,Low,No,No,No,Yes,High,Often,No,No,Medium,Culture
U00108,18-21,Male,Student,YouTube,<1,High,Medium,Sometimes,Yes,Interactive,Low,No,No,No,Yes,High,Rarely,Yes,No,Low,Urban
U00109,18-21,Male,Employed,TikTok,5+,High,Low,No,Yes,Interactive,Medium,No,Yes,Yes,Yes,High,Rarely,No,No,High,Adventure
U00110,22-25,Female,Employed,Facebook,<1,High,High,No,No,Interactive,High,No,Yes,Yes,No,Low,Sometimes,Yes,No,Medium,Relaxation
U00111,22-25,Other,Student,Facebook,1-2,Medium,Medium,No,No,Interactive,High,No,Yes,Yes,Yes,Low,Rarely,No,Yes,Medium,Urban
U00112,22-25,Female,Student,TikTok,5+,Medium,Medium,Sometimes,No,Passive,Medium,No,Yes,No,Yes,Low,Often,No,No,High,Urban
U00113,22-25,Male,Employed,YouTube,1-2,Low,High,Sometimes,Yes,Passive,High,No,Yes,Yes,No,High,Sometimes,No,No,Low,Urban
U00114,22-25,Male,Employed,YouTube,3-5,Medium,Medium,Sometimes,Yes,Interactive,High,No,Yes,No,No,High,Rarely,No,No,Low,Relaxation
U00115,18-21,Other,Student,YouTube,<1,Low,High,Yes,No,Passive,Low,Yes,Yes,Yes,Yes,Medium,Often,Yes,Yes,Low,Culture
U00116,22-25,Male,Student,YouTube,5+,High,Low,Yes,Yes,Passive,High,Yes,No,Yes,Yes,Low,Sometimes,No,No,Medium,Culture
U00117,18-21,Male,Student,Facebook,5+,Medium,High,No,No,Interactive,High,Yes,No,Yes,No,High,Sometimes,No,No,High,Urban
U00118,22-25,Female,Student,TikTok,1-2,Medium,High,Sometimes,No,Interactive,Low,No,No,Yes,Yes,Medium,Often,Yes,No,Medium,Relaxation
U00119,18-21,Female,Student,Instagram,5+,Low,High,Yes,No,Interactive,Medium,Yes,No,No,No,High,Rarely,Yes,No,Medium,Adventure
U00120,22-25,Female,Student,Facebook,<1,Low,High,Sometimes,No,Passive,Low,No,Yes,Yes,No,High,Rarely,No,Yes,Medium,Urban
U00121,18-21,Other,Employed,Facebook,3-5,High,Medium,Sometimes,No,Passive,Low,No,Yes,Yes,No,High,Often,No,No,Low,Relaxation
U00122,18-21,Other,Student,Facebook,5+,Medium,High,Yes,No,Passive,Low,Yes,Yes,Yes,No,Medium,Sometimes,Yes,No,Low,Relaxation
U00123,22-25,Female,Employed,TikTok,<1,Medium,Medium,Sometimes,No,Interactive,High,Yes,Yes,Yes,Yes,High,Rarely,Yes,Yes,Low,Culture
U00124,18-21,Male,Employed,TikTok,5+,High,Low,No,No,Interactive,High,Yes,No,Yes,No,Low,Often,Yes,Yes,High,Culture
U00125,18-21,Other,Employed,YouTube,1-2,Medium,Low,No,No,Interactive,Low,Yes,No,Yes,Yes,Medium,Sometimes,Yes,No,Medium,Culture
U00126,22-25,Other,Employed,YouTube,<1,High,Medium,Yes,Yes,Interactive,Low,Yes,No,Yes,Yes,High,Rarely,Yes,No,Medium,Urban
U00127,22-25,Female,Employed,TikTok,1-2,Low,Medium,Yes,No,Interactive,Low,No,No,Yes,Yes,High,Sometimes,No,Yes,Low,Relaxation
U00128,22-25,Male,Employed,Facebook,1-2,Low,Low,Sometimes,No,Passive,Low,No,Yes,Yes,Yes,Medium,Often,Yes,Yes,Medium,Urban
U00129,18-21,Other,Employed,YouTube,1-2,Medium,Medium,No,Yes,Passive,Low,Yes,Yes,Yes,No,High,Rarely,Yes,Yes,High,Relaxation
U00130,18-21,Other,Student,TikTok,5+,Low,Low,Yes,No,Passive,Medium,No,No,No,Yes,High,Rarely,Yes,Yes,Medium,Adventure
U00131,22-25,Other,Student,Facebook,<1,Low,Low,Sometimes,No,Passive,High,Yes,No,No,Yes,High,Rarely,No,Yes,Low,Culture
U00132,22-25,Female,Employed,TikTok,5+,Low,Medium,Sometimes,No,Passive,Low,No,Yes,No,No,High,Sometimes,No,Yes,Medium,Culture
U00133,22-25,Male,Student,TikTok,3-5,Medium,High,Yes,Yes,Passive,Low,Yes,Yes,No,Yes,Low,Often,No,Yes,High,Adventure
U00134,18-21,Female,Employed,Instagram,<1,Medium,Medium,Yes,Yes,Passive,Medium,No,Yes,Yes,No,Low,Often,No,No,Low,Adventure
U00135,18-21,Other,Student,TikTok,3-5,Medium,High,Yes,Yes,Interactive,High,Yes,Yes,No,No,Low,Rarely,No,Yes,High,Culture
U00136,18-21,Other,Student,Facebook,1-2,Low,High,No,No,Interactive,Medium,No,No,Yes,No,Low,Sometimes,Yes,No,Low,Relaxation
U00137,22-25,Female,Employed,Instagram,1-2,Low,Low,No,Yes,Passive,Low,Yes,Yes,No,Yes,Low,Sometimes,No,Yes,Low,Adventure
U00138,22-25,Other,Student,Facebook,3-5,High,Low,Sometimes,No,Interactive,High,Yes,No,Yes,No,Low,Often,Yes,No,Low,Urban
U00139,22-25,Other,Employed,Instagram,5+,High,High,Yes,No,Interactive,Low,Yes,Yes,No,Yes,High,Sometimes,Yes,Yes,Medium,Relaxation
U00140,22-25,Other,Student,YouTube,3-5,Low,Low,No,Yes,Interactive,Medium,Yes,No,No,No,Low,Rarely,Yes,No,Medium,Culture
U00141,22-25,Other,Student,Instagram,<1,Low,Medium,Sometimes,No,Interactive,High,Yes,Yes,Yes,Yes,High,Rarely,Yes,Yes,Low,Relaxation
U00142,18-21,Female,Employed,Facebook,3-5,Medium,Low,Sometimes,Yes,Passive,High,Yes,Yes,No,Yes,Medium,Often,Yes,Yes,Medium,Relaxation
U00143,22-25,Female,Employed,Instagram,3-5,Medium,Low,Sometimes,No,Interactive,Medium,No,No,No,No,Low,Rarely,Yes,No,Medium,Urban
U00144,18-21,Other,Employed,YouTube,<1,High,Medium,Sometimes,No,Interactive,Medium,Yes,No,Yes,Yes,High,Rarely,No,No,Low,Adventure
U00145,22-25,Female,Employed,Facebook,<1,High,Low,Sometimes,Yes,Passive,Low,Yes,No,Yes,Yes,High,Often,No,Yes,Low,Adventure
U00146,18-21,Other,Employed,TikTok,<1,Medium,Low,No,No,Passive,High,No,No,Yes,No,High,Rarely,No,No,Medium,Urban
U00147,22-25,Female,Employed,YouTube,<1,Low,High,No,Yes,Passive,High,Yes,Yes,Yes,No,Medium,Often,No,Yes,Low,Relaxation
U00148,22-25,Male,Employed,YouTube,1-2,High,Low,Sometimes,No,Passive,Low,No,No,No,No,Low,Rarely,Yes,No,High,Adventure
U00149,18-21,Male,Student,YouTube,3-5,Low,Medium,Sometimes,Yes,Passive,Medium,No,Yes,Yes,No,Medium,Sometimes,Yes,Yes,Medium,Culture
U00150,22-25,Other,Employed,Instagram,5+,Low,Medium,Yes,No,Passive,Low,Yes,Yes,Yes,No,Medium,Sometimes,Yes,Yes,High,Adventure
U00151,22-25,Female,Student,TikTok,<1,Medium,Medium,Yes,No,Interactive,High,No,No,Yes,No,Medium,Rarely,No,Yes,High,Relaxation
U00152,22-25,Male,Student,Facebook,5+,Low,High,No,No,Interactive,Low,Yes,No,No,No,High,Often,Yes,No,Low,Urban
U00153,22-25,Female,Employed,Facebook,3-5,High,Low,No,No,Interactive,High,No,No,Yes,No,Low,Rarely,Yes,Yes,Low,Relaxation
U00154,22-25,Male,Student,Facebook,3-5,High,High,No,No,Passive,Low,Yes,No,No,No,Low,Rarely,No,No,High,Urban
U00155,18-21,Other,Employed,YouTube,<1,Medium,High,No,Yes,Interactive,Low,Yes,No,Yes,Yes,Medium,Often,No,No,Low,Relaxation
U00156,22-25,Female,Employed,YouTube,1-2,Low,Medium,Yes,No,Passive,High,Yes,Yes,No,No,Medium,Sometimes,No,No,Medium,Urban
U00157,22-25,Other,Employed,Facebook,1-2,Medium,High,Sometimes,Yes,Interactive,Low,Yes,No,No,Yes,High,Sometimes,No,No,Low,Urban
U00158,18-21,Other,Student,Instagram,<1,Low,Low,Yes,Yes,Passive,High,No,No,Yes,Yes,High,Sometimes,Yes,No,Medium,Culture
U00159,18-21,Male,Employed,YouTube,5+,Medium,High,Sometimes,No,Passive,High,Yes,Yes,No,No,High,Rarely,Yes,No,Medium,Relaxation
U00160,18-21,Other,Employed,YouTube,1-2,High,Medium,No,No,Passive,Medium,No,No,No,No,Medium,Sometimes,No,Yes,Medium,Adventure
U00161,18-21,Other,Employed,Facebook,<1,Medium,High,Yes,Yes,Interactive,High,Yes,Yes,No,Yes,Low,Rarely,Yes,No,High,Relaxation
U00162,18-21,Male,Employed,Instagram,<1,Low,High,Sometimes,No,Interactive,Medium,No,No,No,No,Low,Rarely,Yes,Yes,Medium,Relaxation
U00163,18-21,Other,Student,Instagram,3-5,High,High,Sometimes,Yes,Interactive,Low,Yes,No,Yes,No,High,Often,No,Yes,Medium,Urban
U00164,22-25,Male,Student,Facebook,<1,Low,Low,Sometimes,Yes,Passive,Low,Yes,Yes,Yes,No,High,Rarely,Yes,No,Medium,Culture
U00165,22-25,Other,Student,YouTube,3-5,Medium,High,No,No,Passive,Low,Yes,Yes,No,No,Low,Often,No,No,High,Culture
U00166,22-25,Other,Employed,Facebook,5+,Low,Medium,Yes,No,Passive,High,No,Yes,Yes,No,Low,Often,Yes,No,Low,Adventure
U00167,22-25,Female,Student,Instagram,3-5,High,Low,Sometimes,Yes,Interactive,Low,Yes,No,Yes,No,High,Often,Yes,No,Low,Culture
U00168,18-21,Female,Employed,Facebook,1-2,Low,Medium,Yes,Yes,Interactive,Low,No,No,Yes,No,Low,Sometimes,No,No,High,Urban
U00169,18-21,Female,Student,Instagram,<1,High,Low,Sometimes,No,Passive,Low,Yes,No,Yes,No,High,Often,No,No,Low,Adventure
U00170,18-21,Male,Student,Facebook,3-5,Medium,High,Yes,Yes,Interactive,Low,Yes,Yes,No,Yes,High,Often,No,Yes,High,Relaxation
U00171,18-21,Female,Student,TikTok,<1,Low,High,Sometimes,No,Interactive,High,No,No,No,No,High,Sometimes,No,No,Medium,Adventure
U00172,22-25,Other,Employed,Facebook,3-5,Medium,Medium,No,Yes,Passive,Medium,Yes,No,Yes,Yes,Low,Sometimes,No,No,Low,Urban
U00173,22-25,Male,Student,Facebook,<1,Medium,Low,Sometimes,Yes,Interactive,Medium,No,No,Yes,No,Low,Often,Yes,No,Low,Urban
U00174,18-21,Female,Employed,Facebook,3-5,Low,High,No,Yes,Passive,Medium,Yes,No,Yes,No,Low,Rarely,No,Yes,Medium,Adventure
U00175,22-25,Female,Student,TikTok,<1,High,Low,Sometimes,Yes,Interactive,Low,Yes,Yes,No,Yes,Medium,Rarely,No,Yes,Medium,Relaxation
U00176,22-25,Male,Student,YouTube,5+,High,High,No,No,Interactive,Low,Yes,No,No,No,Low,Rarely,No,No,High,Relaxation
U00177,22-25,Other,Student,TikTok,<1,High,Medium,No,No,Passive,Low,Yes,Yes,Yes,No,High,Often,No,No,Low,Urban
U00178,18-21,Other,Student,YouTube,1-2,Medium,High,No,No,Interactive,Medium,Yes,Yes,No,No,Low,Sometimes,Yes,No,Low,Culture
